"","word","n"
"222","not be able to",83
"223","a lot of things",82
"224","all over the place",82
"225","i want to do",82
"226","i want to go",82
"227","i want to see",82
"228","the fact that i",82
"229","was the first time",82
"230","you want to be",82
"231","all the way to",81
"232","figure out how to",81
"233","from time to time",81
"234","i don’t want to",81
"235","i wish i was",81
"236","if you have any",81
"237","in new york city",81
"238","it was the first",81
"239","at the bottom of",80
"240","but i have to",80
"241","for a few days",80
"242","of the united states",80
"243","should be able to",80
"244","was supposed to be",80
"245","a couple of years",79
"246","all of a sudden",79
"247","i don't know why",79
"248","thanks for following me",79
"249","you don't want to",79
"250","fell in love with",78
"251","i have a lot",78
"252","i'm looking forward to",78
"253","in the face of",78
"254","it was one of",78
"255","may or may not",78
"256","some of the most",78
"257","with the help of",78
"258","in an effort to",77
"259","not going to be",77
"260","not the only one",77
"261","one of the reasons",77
"262","this time of year",77
"263","as you can see",76
"264","i love you so",76
"265","i'm going to be",76
"266","nice to meet you",76
"267","the heart of the",76
"268","what to do with",76
"269","you would like to",76
"270","can i get a",75
"271","the time of the",75
"272","to be a good",75
"273","to be one of",75
"274","i don't have a",74
"275","i really need to",74
"276","if you are a",74
"277","in front of a",74
"278","is one of those",74
"279","it was a good",74
"280","the rest of my",74
"281","to take advantage of",74
"282","and a lot of",73
"283","i think it is",73
"284","in the near future",73
"285","is part of the",73
"286","once in a while",73
"287","the way to the",73
"288","to figure out how",73
"289","with a lot of",73
"290","a look at the",72
"291","i am not a",72
"292","i went to the",72
"293","makes me want to",72
"294","on the side of",72
"295","one of the things",72
"296","out to be a",72
"297","over and over again",72
"298","the center of the",72
"299","the united states and",72
"300","there are a few",72
"301","for the sake of",71
"302","hope you had a",71
"303","i didn't want to",71
"304","i thought i was",71
"305","it has been a",71
"306","out of the way",71
"307","a couple of days",70
"308","am i the only",70
"309","i feel like i'm",70
"310","i need to be",70
"311","in the third quarter",70
"312","let me know what",70
"313","so i decided to",70
"314","there's a lot of",70
"315","and i have a",69
"316","at the start of",69
"317","can't wait to get",69
"318","i have to go",69
"319","i thought i would",69
"320","i was in the",69
"321","it was going to",69
"322","that there is a",69
"323","the end of this",69
"324","want to be a",69
"325","and i have to",68
"326","as long as i",68
"327","get out of the",68
"328","i have a feeling",68
"329","i thought it would",68
"330","if you would like",68
"331","in a couple of",68
"332","in the right direction",68
"333","said in an interview",68
"334","thank you for following",68
"335","you know what i",68
"336","a big fan of",67
"337","can't wait to hear",67
"338","here are a few",67
"339","if you don't have",67
"340","is a lot of",67
"341","thank you to all",67
"342","the last time i",67
"343","the only one who",67
"344","to share with you",67
"345","was one of those",67
"346","for more than a",66
"347","happy mothers day to",66
"348","in the hands of",66
"349","in the wake of",66
"350","is supposed to be",66
"351","middle of the night",66
"352","over the course of",66
"353","the front of the",66
"354","the only thing i",66
"355","the vast majority of",66
"356","to the point where",66
"357","at the age of",65
"358","has nothing to do",65
"359","he was going to",65
"360","it has to be",65
"361","it is important to",65
"362","it was time to",65
"363","know what you think",65
"364","of one of the",65
"365","would like to see",65
"366","as long as you",64
"367","both sides of the",64
"368","have no idea what",64
"369","i don't think i",64
"370","i was a kid",64
"371","keep up the good",64
"372","not being able to",64
"373","player of the year",64
"374","thank you thank you",64
"375","the history of the",64
"376","forward to seeing you",63
"377","it is time to",63
"378","thanks to everyone who",63
"379","you can see the",63
"380","be part of the",62
"381","is expected to be",62
"382","let me tell you",62
"383","on a daily basis",62
"384","the edge of the",62
"385","the last couple of",62
"386","to go to sleep",62
"387","to learn how to",62
"388","when i was in",62
"389","you want to do",62
"390","a great deal of",61
"391","do you have any",61
"392","happy mother's day to",61
"393","have a chance to",61
"394","i have to do",61
"395","in an attempt to",61
"396","on the back of",61
"397","take the time to",61
"398","that it would be",61
"399","the last day of",61
"400","to be a great",61
"401","will be in the",61
"402","you please follow me",61
"403","and i have been",60
"404","by the time i",60
"405","going to be the",60
"406","have to do is",60
"407","have to go to",60
"408","i think it was",60
"409","i was trying to",60
"410","is what it is",60
"411","love you so much",60
"412","not a fan of",60
"413","on the edge of",60
"414","rest of the world",60
"415","to do the same",60
"416","to keep up with",60
"417","we look forward to",60
"418","with the rest of",60
"419","a whole lot of",59
"420","back in the day",59
"421","be able to do",59
"422","don't want to be",59
"423","i wanted to do",59
"424","might be able to",59
"425","one of my favorites",59
"426","to one of the",59
"427","we were able to",59
"428","would be able to",59
"429","would have to be",59
"430","a few of the",58
"431","and i want to",58
"432","get a chance to",58
"433","had a chance to",58
"434","i am so excited",58
"435","if there is a",58
"436","in the next few",58
"437","is not going to",58
"438","let me know when",58
"439","make it to the",58
"440","my husband and i",58
"441","so i had to",58
"442","thank you very much",58
"443","thanks for the retweet",58
"444","there is so much",58
"445","they are going to",58
"446","to give it a",58
"447","to learn more about",58
"448","to look at the",58
"449","come up with a",57
"450","for all of us",57
"451","have a good day",57
"452","have been able to",57
"453","i can tell you",57
"454","i miss you too",57
"455","i need to go",57
"456","in the city of",57
"457","in the heart of",57
"458","more than a decade",57
"459","one of the biggest",57
"460","s o to my",57
"461","seems to be a",57
"462","the most important thing",57
"463","to go to bed",57
"464","was a lot of",57
"465","what do you do",57
"466","a long time ago",56
"467","a lot of work",56
"468","a spokesman for the",56
"469","and i had to",56
"470","as a way to",56
"471","as far as i",56
"472","do not want to",56
"473","i am not sure",56
"474","i have to admit",56
"475","i love you too",56
"476","i the only one",56
"477","i want you to",56
"478","look forward to seeing",56
"479","on the verge of",56
"480","tens of thousands of",56
"481","thanks for stopping by",56
"482","that it was a",56
"483","that there is no",56
"484","the past few years",56
"485","the u.s department of",56
"486","up the good work",56
"487","you for the follow",56
"488","a few days ago",55
"489","and some of the",55
"490","are some of the",55
"491","be sure to check",55
"492","day to all the",55
"493","don't know how to",55
"494","for a chance to",55
"495","for a few minutes",55
"496","for as long as",55
"497","i don't even know",55
"498","in the morning and",55
"499","just got back from",55
"500","let us know if",55
"501","looking forward to a",55
"502","please let me know",55
"503","the day of the",55
"504","to be in a",55
"505","to check out the",55
"506","to play in the",55
"507","would be a good",55
"508","a copy of the",54
"509","at the time i",54
"510","despite the fact that",54
"511","for the follow i",54
"512","has to do with",54
"513","i think this is",54
"514","in the bottom of",54
"515","now i have to",54
"516","this is a great",54
"517","to be the best",54
"518","to say the least",54
"519","what was going on",54
"520","with some of the",54
"521","won't be able to",54
"522","a friend of mine",53
"523","have the right to",53
"524","hope everyone has a",53
"525","how much i love",53
"526","i felt like i",53
"527","i knew it was",53
"528","i wanted to be",53
"529","i was a little",53
"530","in my life i",53
"531","in the last few",53
"532","in the long run",53
"533","in the parking lot",53
"534","it is going to",53
"535","it was just a",53
"536","looking forward to your",53
"537","the end of a",53
"538","the next few days",53
"539","the past two years",53
"540","the size of the",53
"541","to all of you",53
"542","to deal with the",53
"543","to hang out with",53
"544","to pick up the",53
"545","you don't have a",53
"546","awkward moment when you",52
"547","end of the world",52
"548","have to say i",52
"549","hope everyone had a",52
"550","i hope you have",52
"551","i used to be",52
"552","i will have to",52
"553","i would have to",52
"554","incorporated in item c",52
"555","it is hard to",52
"556","open to the public",52
"557","over the past few",52
"558","so that i can",52
"559","thanks for the support",52
"560","this is what i",52
"561","to go to school",52
"562","to the united states",52
"563","two and a half",52
"564","what is your favorite",52
"565","year and a half",52
"566","a good way to",51
"567","a result of the",51
"568","all i can say",51
"569","anything to do with",51
"570","but in the end",51
"571","for most of the",51
"572","for the heads up",51
"573","got a lot of",51
"574","if you're going to",51
"575","in connection with the",51
"576","on behalf of the",51
"577","one of the greatest",51
"578","that i have a",51
"579","the course of the",51
"580","the head of the",51
"581","time of the year",51
"582","to the fact that",51
"583","wish i had a",51
"584","with the exception of",51
"585","you have a good",51
"586","a couple of times",50
"587","a year and a",50
"588","from all over the",50
"589","go back to the",50
"590","going to be in",50
"591","great to see you",50
"592","had so much fun",50
"593","happy birthday to my",50
"594","have to say that",50
"595","hour and a half",50
"596","i hate it when",50
"597","i love you i",50
"598","i’m not going to",50
"599","on a regular basis",50
"600","one of the top",50
"601","so proud of you",50
"602","thanks for all the",50
"603","the back of my",50
"604","the nature of the",50
"605","the state department of",50
"606","there are lots of",50
"607","there is a lot",50
"608","to focus on the",50
"609","to the end of",50
"610","told the associated press",50
"611","what is going on",50
"612","when you have a",50
"613","why is it that",50
"614","would have been a",50
"615","you can get a",50
"616","a lot of money",49
"617","all you have to",49
"618","and it was a",49
"619","as a matter of",49
"620","but you have to",49
"621","did a great job",49
"622","do you know what",49
"623","for all of the",49
"624","how have you been",49
"625","i just need to",49
"626","in a series of",49
"627","it thanks for the",49
"628","need to go to",49
"629","over the next few",49
"630","that i need to",49
"631","there are plenty of",49
"632","thought it was a",49
"633","to check it out",49
"634","to do with it",49
"635","want to make sure",49
"636","we were going to",49
"637","will be at the",49
"638","are going to have",48
"639","as long as the",48
"640","be able to get",48
"641","hundreds of thousands of",48
"642","i need to do",48
"643","i think i have",48
"644","i'm going to have",48
"645","if i had a",48
"646","is a good thing",48
"647","it was great to",48
"648","let me know how",48
"649","make the most of",48
"650","me know what you",48
"651","more than a year",48
"652","please follow me i",48
"653","see if i can",48
"654","that would be a",48
"655","the idea of a",48
"656","the middle of a",48
"657","the only one that",48
"658","the second half of",48
"659","there is no way",48
"660","to go to a",48
"661","to let you know",48
"662","to make sure the",48
"663","wait to see the",48
"664","you can do it",48
"665","day of the week",47
"666","every now and then",47
"667","going to have a",47
"668","has a lot of",47
"669","i don’t know what",47
"670","i have to be",47
"671","i think it's a",47
"672","if you are not",47
"673","in the same way",47
"674","in the world of",47
"675","is the first time",47
"676","mother's day to all",47
"677","of some of the",47
"678","of the fact that",47
"679","of the year and",47
"680","once upon a time",47
"681","thank you to everyone",47
"682","that a lot of",47
"683","that i want to",47
"684","that you have to",47
"685","the first half of",47
"686","the good news is",47
"687","the majority of the",47
"688","the power of the",47
"689","this is why i",47
"690","to pay for the",47
"691","to talk to you",47
"692","we have a lot",47
"693","you for the rt",47
"694","you just have to",47
"695","you might want to",47
"696","you want me to",47
"697","a huge fan of",46
"698","am looking forward to",46
"699","and the fact that",46
"700","as long as they",46
"701","as soon as possible",46
"702","at the expense of",46
"703","at the time the",46
"704","but i have a",46
"705","but it was a",46
"706","do i have to",46
"707","have to worry about",46
"708","i can't help but",46
"709","i don't have any",46
"710","i have to get",46
"711","it was nice to",46
"712","it's one of the",46
"713","on the day of",46
"714","one of the many",46
"715","see you at the",46
"716","something to do with",46
"717","this is a very",46
"718","to make up for",46
"719","to say that i",46
"720","to see you there",46
"721","until the end of",46
"722","we would love to",46
"723","a few months ago",45
"724","as much as possible",45
"725","for some reason i",45
"726","good to see you",45
"727","have a great week",45
"728","hi hi hi hi",45
"729","i don’t know if",45
"730","i had a great",45
"731","i just had to",45
"732","i was looking for",45
"733","i was supposed to",45
"734","if i have to",45
"735","in order to get",45
"736","it is one of",45
"737","it is what it",45
"738","it was such a",45
"739","let us know what",45
"740","me so i can",45
"741","not to mention the",45
"742","one of those days",45
"743","really looking forward to",45
"744","want it to be",45
"745","we went to the",45
"746","we would like to",45
"747","what it means to",45
"748","a lot of good",44
"749","all the time and",44
"750","and it will be",44
"751","at the center of",44
"752","do a lot of",44
"753","for a lot of",44
"754","getting ready for the",44
"755","had a good time",44
"756","have the opportunity to",44
"757","i am in the",44
"758","i feel like a",44
"759","i want to make",44
"760","if i want to",44
"761","in an e mail",44
"762","in an interview with",44
"763","keep an eye on",44
"764","no such thing as",44
"765","on both sides of",44
"766","one of the largest",44
"767","out of the house",44
"768","rest of the day",44
"769","thanks for the heads",44
"770","thanks for the tweet",44
"771","this is not the",44
"772","to all of the",44
"773","to be the most",44
"774","to hear from you",44
"775","would love to have",44
"776","would love to hear",44
"777","a couple of hours",43
"778","a spokeswoman for the",43
"779","and at the same",43
"780","are more likely to",43
"781","ass ass ass ass",43
"782","believe it or not",43
"783","cant wait to see",43
"784","don't know what to",43
"785","for more information call",43
"786","for the second time",43
"787","get a lot of",43
"788","give it a try",43
"789","he was able to",43
"790","how i feel about",43
"791","i can think of",43
"792","i know i have",43
"793","i know i know",43
"794","i love it when",43
"795","i think i might",43
"796","if you'd like to",43
"797","in love with the",43
"798","in the center of",43
"799","in the end i",43
"800","in the past year",43
"801","may be able to",43
"802","of the university of",43
"803","on the same day",43
"804","on to the next",43
"805","that i wanted to",43
"806","that one of the",43
"807","the last few years",43
"808","the rest of his",43
"809","to go out and",43
"810","to see you at",43
"811","to the back of",43
"812","used to be a",43
"813","we had a great",43
"814","you are looking for",43
"815","at the right time",42
"816","at this point i",42
"817","be able to make",42
"818","be reached for comment",42
"819","came up with the",42
"820","could not be reached",42
"821","don't get me wrong",42
"822","feel the need to",42
"823","first day of the",42
"824","for a while and",42
"825","for one of the",42
"826","going to be an",42
"827","have to deal with",42
"828","have to do it",42
"829","how are you doing",42
"830","if you need a",42
"831","in a lot of",42
"832","just wanted to say",42
"833","my wife and i",42
"834","now is the time",42
"835","so i can go",42
"836","supposed to be a",42
"837","the best part of",42
"838","the word of god",42
"839","to look forward to",42
"840","to some of the",42
"841","to the top of",42
"842","turn out to be",42
"843","up and down the",42
"844","what i want to",42
"845","will be the first",42
"846","you need to know",42
"847","a great place to",41
"848","a hell of a",41
"849","a trip to the",41
"850","all you need to",41
"851","and out of the",41
"852","as long as it",41
"853","before the end of",41
"854","but i don't think",41
"855","chance to win a",41
"856","fall in love with",41
"857","go back to sleep",41
"858","hard for me to",41
"859","i had to do",41
"860","i love you and",41
"861","i think i am",41
"862","i think i will",41
"863","i think it would",41
"864","i was in a",41
"865","if you look at",41
"866","in charge of the",41
"867","in the second quarter",41
"868","it needs to be",41
"869","it was a very",41
"870","know what i mean",41
"871","made it to the",41
"872","so i can get",41
"873","thank you for all",41
"874","thanks for the love",41
"875","the bottom line is",41
"876","the first round of",41
"877","the other day i",41
"878","the quality of the",41
"879","to catch up on",41
"880","to everyone who came",41
"881","to find out what",41
"882","to go to work",41
"883","want to be in",41
"884","we don't want to",41
"885","you had a great",41
"886","you want to see",41
"887","a big part of",40
"888","a couple of months",40
"889","a good idea to",40
"890","and i will be",40
"891","as a member of",40
"892","at the very least",40
"893","but at the same",40
"894","couple of weeks ago",40
"895","did not want to",40
"896","get in the way",40
"897","have to be a",40
"898","he said he was",40
"899","i am looking forward",40
"900","i didn’t want to",40
"901","i grew up in",40
"902","i want to know",40
"903","i'm not the only",40
"904","if you are interested",40
"905","in the direction of",40
"906","in the st louis",40
"907","is a bit of",40
"908","it seems to me",40
"909","it was a little",40
"910","it's gonna be a",40
"911","martin luther king jr",40
"912","of the day i",40
"913","sure to check out",40
"914","take advantage of the",40
"915","thank you for sharing",40
"916","thanks to all who",40
"917","the cause of the",40
"918","the face of the",40
"919","the fact that he",40
"920","the fact that we",40
"921","the first time the",40
"922","the goal is to",40
"923","the last two years",40
"924","the next few weeks",40
"925","the university of chicago",40
"926","this is the best",40
"927","to be a little",40
"928","to be a long",40
"929","to be at the",40
"930","to get in the",40
"931","to talk about the",40
"932","wanted to be a",40
"933","we need to be",40
"934","what you want to",40
"935","who grew up in",40
"936","a part of it",39
"937","according to the report",39
"938","across the street from",39
"939","and i had a",39
"940","at the heart of",39
"941","at the last minute",39
"942","but i think it",39
"943","couple of years ago",39
"944","every once in a",39
"945","for the follow and",39
"946","have no idea how",39
"947","i am trying to",39
"948","i came up with",39
"949","i can do it",39
"950","i fell in love",39
"951","i have a few",39
"952","i hope you are",39
"953","i just finished a",39
"954","if you are in",39
"955","in my life and",39
"956","is it just me",39
"957","it all the time",39
"958","it comes to the",39
"959","it seems to be",39
"960","leading up to the",39
"961","lots and lots of",39
"962","rest of the week",39
"963","said it was a",39
"964","spend a lot of",39
"965","that i have to",39
"966","the cost of the",39
"967","the last few days",39
"968","the next few months",39
"969","the rest of your",39
"970","the same time as",39
"971","the second time in",39
"972","there would be no",39
"973","think it would be",39
"974","this will be the",39
"975","to figure out what",39
"976","to find a way",39
"977","to get to know",39
"978","to pick up a",39
"979","to see if i",39
"980","to see you in",39
"981","to the bottom of",39
"982","turns out to be",39
"983","we need to get",39
"984","will be on the",39
"985","with a bit of",39
"986","you are in the",39
"987","you are the best",39
"988","you will have to",39
"989","a little more than",38
"990","an hour and a",38
"991","and i am not",38
"992","and i know that",38
"993","and thanks for the",38
"994","as a result the",38
"995","as far as the",38
"996","as much as the",38
"997","be a lot of",38
"998","be able to see",38
"999","be interesting to see",38
"1000","do you think of",38
"1001","end of the month",38
"1002","everyone who came out",38
"1003","great to meet you",38
"1004","have nothing to do",38
"1005","have to do with",38
"1006","i can say is",38
"1007","i decided to make",38
"1008","i want to get",38
"1009","i was on the",38
"1010","in a few weeks",38
"1011","in a large bowl",38
"1012","in a position to",38
"1013","in front of you",38
"1014","in the locker room",38
"1015","is a great way",38
"1016","is a member of",38
"1017","is going to have",38
"1018","it is not a",38
"1019","it turns out that",38
"1020","it used to be",38
"1021","it's been a long",38
"1022","needs to be done",38
"1023","not going to get",38
"1024","on the part of",38
"1025","shout out to my",38
"1026","shut the fuck up",38
"1027","thanks for the rts",38
"1028","that it was the",38
"1029","the hands of the",38
"1030","the people in the",38
"1031","the right side of",38
"1032","the same time i",38
"1033","the winner of the",38
"1034","there has been a",38
"1035","they were going to",38
"1036","this is a good",38
"1037","to participate in the",38
"1038","to stay in the",38
"1039","we are in the",38
"1040","what did you think",38
"1041","what i was doing",38
"1042","when it came to",38
"1043","who is going to",38
"1044","will have to be",38
"1045","with salt and pepper",38
"1046","you and your family",38
"1047","you need to do",38
"1048","a wide variety of",37
"1049","all over the country",37
"1050","am i going to",37
"1051","and a couple of",37
"1052","and i don't know",37
"1053","and i went to",37
"1054","at a news conference",37
"1055","at one of the",37
"1056","but it is a",37
"1057","but there is no",37
"1058","by the fact that",37
"1059","did not respond to",37
"1060","from around the world",37
"1061","get out of bed",37
"1062","glad you like it",37
"1063","have a great time",37
"1064","have a hard time",37
"1065","have a wonderful day",37
"1066","i didn't have to",37
"1067","i do not have",37
"1068","i don't know about",37
"1069","i hate when people",37
"1070","in the context of",37
"1071","in the mood for",37
"1072","in the world and",37
"1073","it was time for",37
"1074","more than a few",37
"1075","not a lot of",37
"1076","on top of that",37
"1077","one at a time",37
"1078","one of my favourite",37
"1079","one way or another",37
"1080","other parts of the",37
"1081","so far this year",37
"1082","some of my favorite",37
"1083","stuck in my head",37
"1084","that needs to be",37
"1085","the best in the",37
"1086","the best of the",37
"1087","the fact that it",37
"1088","the los angeles times",37
"1089","the past three years",37
"1090","the right thing to",37
"1091","the same as the",37
"1092","the state of the",37
"1093","the story of the",37
"1094","the wall street journal",37
"1095","think i'm going to",37
"1096","to be the first",37
"1097","want to talk about",37
"1098","we have to be",37
"1099","with the fact that",37
"1100","you are having a",37
"1101","you had a good",37
"1102","you may want to",37
"1103","you to everyone who",37
"1104","all the time i",36
"1105","are you coming to",36
"1106","but i think i",36
"1107","but there is a",36
"1108","do the right thing",36
"1109","don't have to be",36
"1110","felt like i was",36
"1111","going on in the",36
"1112","has to be a",36
"1113","have been trying to",36
"1114","having a hard time",36
"1115","how do you know",36
"1116","i was about to",36
"1117","in a variety of",36
"1118","in new york and",36
"1119","in order to make",36
"1120","in the living room",36
"1121","in u.s district court",36
"1122","it is easy to",36
"1123","it was hard to",36
"1124","it was in the",36
"1125","it will be the",36
"1126","keep an eye out",36
"1127","keep in mind that",36
"1128","know if you need",36
"1129","of the rest of",36
"1130","of the things i",36
"1131","our goal is to",36
"1132","over the past two",36
"1133","preheat the oven to",36
"1134","quote of the day",36
"1135","rest of my life",36
"1136","right in front of",36
"1137","so i have to",36
"1138","the back of a",36
"1139","the last few months",36
"1140","there was a lot",36
"1141","there will be no",36
"1142","this will be a",36
"1143","to find out how",36
"1144","to make it to",36
"1145","we just have to",36
"1146","we live in a",36
"1147","you can make it",36
"1148","you look at the",36
"1149","you thanks for the",36
"1150","a day or two",35
"1151","a matter of time",35
"1152","a way to get",35
"1153","and all of the",35
"1154","and i'm going to",35
"1155","and you know what",35
"1156","but it is not",35
"1157","come out of the",35
"1158","follow me on twitter",35
"1159","from one of the",35
"1160","get me wrong i",35
"1161","going to be able",35
"1162","going to take a",35
"1163","had nothing to do",35
"1164","i decided to go",35
"1165","i get to see",35
"1166","i just have to",35
"1167","i really wanted to",35
"1168","if you want a",35
"1169","illinois incorporated in item",35
"1170","in a good way",35
"1171","in order to be",35
"1172","in the middle east",35
"1173","it as much as",35
"1174","it could have been",35
"1175","know that i am",35
"1176","me i love you",35
"1177","no matter how much",35
"1178","of my life i",35
"1179","of the most important",35
"1180","of the new york",35
"1181","of the season and",35
"1182","on the way home",35
"1183","one of the great",35
"1184","side of the road",35
"1185","so excited to see",35
"1186","thank you all for",35
"1187","thanks for following us",35
"1188","that i have been",35
"1189","that it is a",35
"1190","the next two years",35
"1191","the number of people",35
"1192","the top of my",35
"1193","think of it as",35
"1194","to return to the",35
"1195","to see you on",35
"1196","to the rest of",35
"1197","towards the end of",35
"1198","want to know what",35
"1199","was the only one",35
"1200","what do you mean",35
"1201","what happens when you",35
"1202","what i wanted to",35
"1203","wish i could have",35
"1204","word of the day",35
"1205","you don’t have to",35
"1206","you have any questions",35
"1207","a glass of wine",34
"1208","a good place to",34
"1209","a good time to",34
"1210","a little bit more",34
"1211","a long way to",34
"1212","a shout out to",34
"1213","and i love it",34
"1214","and i think that",34
"1215","and most of the",34
"1216","as if they were",34
"1217","at least one of",34
"1218","at the hands of",34
"1219","be the first to",34
"1220","dancing with the stars",34
"1221","game of the season",34
"1222","going to try to",34
"1223","good news is that",34
"1224","have the ability to",34
"1225","he was one of",34
"1226","i can't tell you",34
"1227","i cant wait to",34
"1228","i don't care if",34
"1229","i had to go",34
"1230","i love the way",34
"1231","i'll let you know",34
"1232","if you were to",34
"1233","in a news release",34
"1234","in a statement that",34
"1235","in response to the",34
"1236","in the end the",34
"1237","in the morning i",34
"1238","in the u.s and",34
"1239","is going to get",34
"1240","is not a good",34
"1241","it is difficult to",34
"1242","it just me or",34
"1243","it would be nice",34
"1244","it’s going to be",34
"1245","just a little bit",34
"1246","more than a dozen",34
"1247","more than half of",34
"1248","need to get a",34
"1249","no matter how many",34
"1250","of the people who",34
"1251","of the things that",34
"1252","on and off the",34
"1253","on one of the",34
"1254","on the east coast",34
"1255","one of these days",34
"1256","second half of the",34
"1257","sorry to hear that",34
"1258","tells the story of",34
"1259","that sounds like a",34
"1260","that this is a",34
"1261","that this is the",34
"1262","the difference between a",34
"1263","the form of a",34
"1264","the names of the",34
"1265","the people who are",34
"1266","there is no doubt",34
"1267","there you have it",34
"1268","this was the first",34
"1269","those of us who",34
"1270","to do with my",34
"1271","to get into the",34
"1272","to go in the",34
"1273","to let go of",34
"1274","to make it a",34
"1275","to name a few",34
"1276","to say that the",34
"1277","to the point of",34
"1278","up in the air",34
"1279","when i got home",34
"1280","when i went to",34
"1281","will be held at",34
"1282","a great time at",33
"1283","a lot of great",33
"1284","a very long time",33
"1285","according to court documents",33
"1286","am going to be",33
"1287","an interview with the",33
"1288","and i need to",33
"1289","appears to be a",33
"1290","are you talking about",33
"1291","as soon as the",33
