"","word","n"
"516","a sense of",221
"517","half of the",221
"518","to do so",221
"519","to do this",221
"520","a good day",220
"521","are you going",220
"522","i get to",220
"523","of the house",220
"524","out of a",220
"525","the story of",220
"526","to pick up",220
"527","day of the",219
"528","for those who",219
"529","i wonder if",219
"530","bit of a",218
"531","up for the",218
"532","a good thing",217
"533","and i love",217
"534","feel like i",217
"535","it on the",217
"536","that this is",217
"537","that was the",217
"538","at least one",216
"539","did you know",216
"540","some of my",216
"541","such as the",216
"542","the power of",216
"543","a list of",215
"544","i was so",215
"545","in the process",215
"546","thank you to",215
"547","the amount of",215
"548","to see a",214
"549","want to get",214
"550","and i don't",213
"551","for the last",213
"552","that there are",213
"553","the same way",213
"554","you going to",213
"555","for a long",212
"556","i have the",212
"557","it's hard to",212
"558","to do that",212
"559","to pay for",212
"560","i can see",211
"561","in the face",211
"562","make sure you",211
"563","over the next",211
"564","a good time",210
"565","all of you",210
"566","i can get",210
"567","in the area",210
"568","more of a",210
"569","sounds like a",210
"570","and i had",209
"571","due to the",209
"572","i'd like to",209
"573","one of our",209
"574","or at least",209
"575","out to the",209
"576","the other day",209
"577","to find the",209
"578","was a great",209
"579","at the university",208
"580","if i had",208
"581","in my head",208
"582","in the way",208
"583","nothing to do",208
"584","s o to",208
"585","the white house",208
"586","there are some",208
"587","well as the",208
"588","when i get",208
"589","but if you",207
"590","don't have a",207
"591","i got to",207
"592","it could be",207
"593","at some point",206
"594","for the past",206
"595","get to the",206
"596","if you need",206
"597","in the back",206
"598","is a very",206
"599","to see it",206
"600","to win the",206
"601","can be a",205
"602","lot of people",205
"603","of the people",205
"604","over the last",205
"605","there are no",205
"606","get back to",204
"607","happy birthday to",204
"608","have to get",204
"609","i did not",204
"610","to listen to",204
"611","a great weekend",203
"612","could have been",203
"613","will have a",203
"614","a matter of",202
"615","it as a",202
"616","and that is",201
"617","happy new year",201
"618","just have to",201
"619","in a while",200
"620","in the early",199
"621","people who are",199
"622","that we have",199
"623","the right to",199
"624","to meet you",199
"625","i know you",198
"626","in the state",198
"627","it's time to",198
"628","just a few",198
"629","that he is",198
"630","all of them",197
"631","at the top",197
"632","feel free to",197
"633","he has a",197
"634","hope to see",197
"635","i think you",197
"636","was supposed to",197
"637","but i was",196
"638","first time in",196
"639","me and i",196
"640","that will be",196
"641","was a little",196
"642","was on the",196
"643","like to see",195
"644","as one of",194
"645","for me i",194
"646","i am in",194
"647","is such a",194
"648","it's been a",194
"649","on the ground",194
"650","that i had",194
"651","this is my",194
"652","to focus on",194
"653","to tell you",194
"654","bottom of the",193
"655","i had the",193
"656","it was not",193
"657","of the city",193
"658","of the night",193
"659","so much fun",193
"660","the st louis",193
"661","the time of",193
"662","to check out",193
"663","to use the",193
"664","and the other",192
"665","is trying to",192
"666","of the same",192
"667","the history of",192
"668","the last few",192
"669","the second half",192
"670","this was a",192
"671","to go back",192
"672","a picture of",191
"673","all of my",191
"674","and then i",191
"675","that kind of",191
"676","the way i",191
"677","to all of",191
"678","to me i",191
"679","he said i",190
"680","out on the",190
"681","and all the",189
"682","because it is",189
"683","i want a",189
"684","not to be",189
"685","on the same",189
"686","right now i",189
"687","will be able",189
"688","you are not",189
"689","a result of",188
"690","a time when",188
"691","down to the",188
"692","it to be",188
"693","the heart of",188
"694","to do is",188
"695","was a good",188
"696","for more information",187
"697","for some reason",187
"698","i had no",187
"699","just wanted to",187
"700","whether or not",187
"701","a fan of",186
"702","across the country",186
"703","and they are",186
"704","back of the",186
"705","happy mothers day",186
"706","i can't believe",186
"707","is to be",186
"708","ready for the",186
"709","they have a",186
"710","time in the",186
"711","to watch the",186
"712","you are the",186
"713","a look at",185
"714","and i know",185
"715","are you doing",185
"716","didn't want to",185
"717","he wants to",185
"718","if i can",185
"719","in st louis",185
"720","should be a",185
"721","so you can",185
"722","the lack of",185
"723","to think about",185
"724","way to go",185
"725","way to the",185
"726","as you can",184
"727","for the new",184
"728","in the case",184
"729","that he had",184
"730","they are not",184
"731","wait for the",184
"732","a few of",183
"733","looks like a",183
"734","of the state",183
"735","one of his",183
"736","the death of",183
"737","the importance of",183
"738","to come to",183
"739","what is the",183
"740","along the way",182
"741","get rid of",182
"742","i try to",182
"743","in the new",182
"744","over and over",182
"745","in the car",181
"746","little bit of",181
"747","see you there",181
"748","to be more",181
"749","want to know",181
"750","we had to",181
"751","will be on",181
"752","i get a",180
"753","in one of",180
"754","the process of",180
"755","you're going to",180
"756","don't forget to",179
"757","how much i",179
"758","i guess i",179
"759","it might be",179
"760","parts of the",179
"761","that i would",179
"762","and i are",178
"763","and we are",178
"764","he had a",178
"765","in new jersey",178
"766","me in the",178
"767","along with the",177
"768","could be a",177
"769","if i was",177
"770","had a good",176
"771","he did not",176
"772","it would have",176
"773","know what to",176
"774","to get in",176
"775","to the next",176
"776","we are not",176
"777","wish i had",176
"778","i could have",175
"779","i didn't know",175
"780","the state of",175
"781","to the point",175
"782","we are all",175
"783","we have been",175
"784","happy mother's day",174
"785","i know it",174
"786","i was able",174
"787","in a way",174
"788","on how to",174
"789","you and your",174
"790","and will be",173
"791","going to make",173
"792","in recent years",173
"793","in this case",173
"794","it was an",173
"795","known as the",173
"796","some sort of",173
"797","welcome to the",173
"798","what i was",173
"799","you have the",173
"800","but in the",172
"801","i don't care",172
"802","i don’t think",172
"803","know what you",172
"804","my way to",172
"805","of the other",172
"806","really want to",172
"807","should have been",172
"808","them in the",172
"809","to me and",172
"810","when you have",172
"811","a lot to",171
"812","as i was",171
"813","don’t want to",171
"814","for the mention",171
"815","in the right",171
"816","know if you",171
"817","the federal government",171
"818","the next few",171
"819","the only way",171
"820","the world is",171
"821","there are many",171
"822","to say i",171
"823","two of the",171
"824","were able to",171
"825","what a great",171
"826","a good idea",170
"827","all of this",170
"828","and one of",170
"829","and you can",170
"830","are the best",170
"831","for the day",170
"832","for us to",170
"833","getting ready to",170
"834","hope you have",170
"835","i love this",170
"836","i tried to",170
"837","in high school",170
"838","in your life",170
"839","not to mention",170
"840","that it would",170
"841","first day of",169
"842","if i could",169
"843","need to do",169
"844","president barack obama",169
"845","rt if you",169
"846","that can be",169
"847","want to make",169
"848","which is a",169
"849","will continue to",169
"850","you in the",169
"851","come to the",168
"852","i am the",168
"853","in los angeles",168
"854","is part of",168
"855","they need to",168
"856","you get a",168
"857","don't know how",167
"858","i didn't have",167
"859","i’m going to",167
"860","so we can",167
"861","you know i",167
"862","i go to",166
"863","involved in the",166
"864","know what i",166
"865","reminds me of",166
"866","so much to",166
"867","the chance to",166
"868","the first half",166
"869","the majority of",166
"870","the side of",166
"871","wanted to be",166
"872","when you are",166
"873","where are you",166
"874","and have a",165
"875","because it was",165
"876","but there is",165
"877","give me a",165
"878","has not been",165
"879","if you were",165
"880","me and my",165
"881","much as i",165
"882","when you get",165
"883","would not be",165
"884","and that the",164
"885","be a great",164
"886","he was the",164
"887","is also a",164
"888","much of a",164
"889","of the way",164
"890","thanks for sharing",164
"891","the los angeles",164
"892","to come back",164
"893","to try and",164
"894","we are going",164
"895","a few more",163
"896","as good as",163
"897","do not have",163
"898","even though i",163
"899","go to sleep",163
"900","in other words",163
"901","that has been",163
"902","the first place",163
"903","they have to",163
"904","to have been",163
"905","were going to",163
"906","wish i was",163
"907","getting ready for",162
"908","i have never",162
"909","i like it",162
"910","if it was",162
"911","in the final",162
"912","in which the",162
"913","it may be",162
"914","some kind of",162
"915","the course of",162
"916","the last two",162
"917","you had a",162
"918","able to get",161
"919","and there are",161
"920","back and forth",161
"921","is just a",161
"922","on the back",161
"923","place in the",161
"924","that i could",161
"925","the center of",161
"926","the difference between",161
"927","who wants to",161
"928","a handful of",160
"929","and his wife",160
"930","but this is",160
"931","of the book",160
"932","on to the",160
"933","some of them",160
"934","the size of",160
"935","there are so",160
"936","who has been",160
"937","a few months",159
"938","it is to",159
"939","on the internet",159
"940","that you have",159
"941","to become a",159
"942","to know what",159
"943","version of the",159
"944","what you want",159
"945","be one of",158
"946","be the first",158
"947","going to go",158
"948","i don't even",158
"949","need to go",158
"950","the first round",158
"951","the world and",158
"952","there is an",158
"953","think about it",158
"954","this is one",158
"955","to the new",158
"956","vice president of",158
"957","a few hours",157
"958","all of these",157
"959","an opportunity to",157
"960","be part of",157
"961","forward to the",157
"962","i should be",157
"963","not want to",157
"964","the idea that",157
"965","this was the",157
"966","time for the",157
"967","to get some",157
"968","up in a",157
"969","and i just",156
"970","appears to be",156
"971","are a few",156
"972","for him to",156
"973","go to bed",156
"974","he wanted to",156
"975","if there is",156
"976","in the fourth",156
"977","it in a",156
"978","the face of",156
"979","to know that",156
"980","had no idea",155
"981","he will be",155
"982","in an interview",155
"983","that she was",155
"984","they will be",155
"985","those of you",155
"986","to one of",155
"987","two years ago",155
"988","at least a",154
"989","great way to",154
"990","is about to",154
"991","it was great",154
"992","out how to",154
"993","the same as",154
"994","check out our",153
"995","have you been",153
"996","i got the",153
"997","i'm not a",153
"998","if it is",153
"999","it has a",153
"1000","meant to be",153
"1001","only a few",153
"1002","the world of",153
"1003","to go out",153
"1004","to the public",153
"1005","we can do",153
"1006","when it was",153
"1007","a bit more",152
"1008","are so many",152
"1009","at one point",152
"1010","earlier this year",152
"1011","i know what",152
"1012","is what i",152
"1013","love to see",152
"1014","one of these",152
"1015","to win a",152
"1016","what is your",152
"1017","you can find",152
"1018","and i can",151
"1019","back on the",151
"1020","for the ff",151
"1021","for the most",151
"1022","have you ever",151
"1023","if you do",151
"1024","in the game",151
"1025","last night i",151
"1026","not sure if",151
"1027","now i have",151
"1028","take a look",151
"1029","that they were",151
"1030","the need to",151
"1031","told me that",151
"1032","was trying to",151
"1033","you have any",151
"1034","and for the",150
"1035","do the same",150
"1036","do you want",150
"1037","for at least",150
"1038","he has been",150
"1039","i hope to",150
"1040","i think i'm",150
"1041","i'd love to",150
"1042","is there a",150
"1043","the point of",150
"1044","to be done",150
"1045","to be honest",150
"1046","what happened to",150
"1047","you guys are",150
"1048","all of our",149
"1049","be at the",149
"1050","but there are",149
"1051","chairman of the",149
"1052","i will not",149
"1053","is a little",149
"1054","it makes me",149
"1055","so excited to",149
"1056","the loss of",149
"1057","the past few",149
"1058","there have been",149
"1059","you get the",149
"1060","are on the",148
"1061","be the best",148
"1062","can i get",148
"1063","family and friends",148
"1064","going to take",148
"1065","him in the",148
"1066","in san francisco",148
"1067","is all about",148
"1068","let you know",148
"1069","on the first",148
"1070","on the phone",148
"1071","ready to go",148
"1072","thanks to all",148
"1073","the day i",148
"1074","the things that",148
"1075","to build a",148
"1076","we have the",148
"1077","well as a",148
"1078","what you think",148
"1079","forward to seeing",147
"1080","goal is to",147
"1081","i hate when",147
"1082","i love to",147
"1083","i should have",147
"1084","i was thinking",147
"1085","in the day",147
"1086","make sure to",147
"1087","of course the",147
"1088","of the last",147
"1089","should not be",147
"1090","there is nothing",147
"1091","this will be",147
"1092","with a few",147
"1093","a man who",146
"1094","a total of",146
"1095","but i do",146
"1096","came up with",146
"1097","for a great",146
"1098","get to see",146
"1099","going to see",146
"1100","hall of fame",146
"1101","i felt like",146
"1102","the age of",146
"1103","the first day",146
"1104","thing to do",146
"1105","to live in",146
"1106","and out of",145
"1107","do with the",145
"1108","expected to be",145
"1109","here are some",145
"1110","i had been",145
"1111","i still have",145
"1112","more likely to",145
"1113","out of his",145
"1114","over to the",145
"1115","so proud of",145
"1116","take advantage of",145
"1117","thank you i",145
"1118","the best way",145
"1119","this is an",145
"1120","to do what",145
"1121","because they are",144
"1122","few years ago",144
"1123","focus on the",144
"1124","for them to",144
"1125","is a lot",144
"1126","less than a",144
"1127","on the right",144
"1128","the department of",144
"1129","to buy a",144
"1130","to tell me",144
"1131","to those who",144
"1132","up for a",144
"1133","we are in",144
"1134","can do it",143
"1135","he is the",143
"1136","in the dark",143
"1137","it does not",143
"1138","it's not a",143
"1139","lot of the",143
"1140","more than one",143
"1141","not the only",143
"1142","to the state",143
"1143","trying to make",143
"1144","when she was",143
"1145","while i was",143
"1146","and on the",142
"1147","couple of weeks",142
"1148","for me and",142
"1149","have to make",142
"1150","i think this",142
"1151","the best thing",142
"1152","the past two",142
"1153","time of the",142
"1154","to be at",142
"1155","why am i",142
"1156","awkward moment when",141
"1157","each of the",141
"1158","i have had",141
"1159","i just got",141
"1160","i love your",141
"1161","it turns out",141
"1162","look like a",141
"1163","my life i",141
"1164","of the two",141
"1165","she said the",141
"1166","those who are",141
"1167","to have you",141
"1168","waiting for the",141
"1169","you do not",141
"1170","you know the",141
"1171","a trip to",140
"1172","for the second",140
"1173","grew up in",140
"1174","i hope that",140
"1175","i think they",140
"1176","in and out",140
"1177","she said she",140
"1178","the way you",140
"1179","to come out",140
"1180","up and down",140
"1181","want you to",140
"1182","will be at",140
"1183","you are so",140
"1184","a lack of",139
"1185","a ton of",139
"1186","and when i",139
"1187","are trying to",139
"1188","at the beginning",139
"1189","chance to win",139
"1190","here is a",139
"1191","i look forward",139
"1192","i think he",139
"1193","if you like",139
"1194","in the us",139
"1195","may have been",139
"1196","need to know",139
"1197","next to the",139
"1198","of the things",139
"1199","on behalf of",139
"1200","out of it",139
"1201","so much more",139
"1202","thanks to the",139
"1203","that in the",139
"1204","that is not",139
"1205","that we can",139
"1206","the one who",139
"1207","to the top",139
"1208","was not a",139
"1209","were in the",139
"1210","why is it",139
"1211","and he was",138
"1212","back into the",138
"1213","black and white",138
"1214","for those of",138
"1215","has been the",138
"1216","i love how",138
"1217","i'm pretty sure",138
"1218","know that i",138
"1219","out for the",138
"1220","part of my",138
"1221","so i have",138
"1222","to me that",138
"1223","to say the",138
"1224","and had a",137
"1225","at least i",137
"1226","had to do",137
"1227","if they are",137
"1228","me know if",137
"1229","of a new",137
"1230","to see my",137
"1231","to see that",137
"1232","you don't know",137
"1233","and then the",136
"1234","back to work",136
"1235","going back to",136
"1236","gonna be a",136
"1237","in the kitchen",136
"1238","is no longer",136
"1239","make sure that",136
"1240","men and women",136
"1241","new york times",136
"1242","on the side",136
"1243","that i will",136
"1244","the hands of",136
"1245","this kind of",136
"1246","to start the",136
"1247","we don't have",136
"1248","a very good",135
"1249","and i would",135
"1250","but they are",135
"1251","did you get",135
"1252","give it a",135
"1253","here is the",135
"1254","i have not",135
"1255","i really want",135
"1256","in favor of",135
"1257","last year and",135
"1258","me when i",135
"1259","really need to",135
"1260","so i was",135
"1261","thanks for your",135
"1262","that he would",135
"1263","to a new",135
"1264","to write a",135
"1265","turned out to",135
"1266","what the hell",135
"1267","will always be",135
"1268","will be held",135
"1269","all is well",134
"1270","best way to",134
"1271","but i know",134
"1272","close to the",134
"1273","early in the",134
"1274","excited to see",134
"1275","executive director of",134
"1276","for a couple",134
"1277","had a lot",134
"1278","i will have",134
"1279","in honor of",134
"1280","in the room",134
"1281","last day of",134
"1282","like to be",134
"1283","of the past",134
"1284","of the top",134
"1285","on the new",134
"1286","spread the word",134
"1287","that have been",134
"1288","the way the",134
"1289","we went to",134
"1290","you can be",134
"1291","a copy of",133
"1292","and there is",133
"1293","even if you",133
"1294","in a long",133
"1295","it seems like",133
"1296","learn how to",133
"1297","looking at the",133
"1298","love you too",133
"1299","make it a",133
"1300","talk to me",133
"1301","that he has",133
"1302","the first of",133
"1303","the price of",133
"1304","to worry about",133
"1305","to you and",133
"1306","what did you",133
"1307","working on a",133
"1308","you know how",133
"1309","a good one",132
"1310","able to do",132
"1311","but i can't",132
"1312","give you a",132
"1313","go to a",132
"1314","going to happen",132
"1315","he said that",132
"1316","i knew i",132
"1317","is more than",132
"1318","is that i",132
"1319","it was like",132
"1320","seems to have",132
"1321","she is a",132
"1322","the associated press",132
"1323","the role of",132
"1324","this week i",132
"1325","this year the",132
"1326","to be one",132
"1327","to go with",132
"1328","up at the",132
"1329","in the league",131
"1330","is a bit",131
"1331","is like a",131
"1332","makes me feel",131
"1333","might be a",131
"1334","of all time",131
"1335","of the story",131
"1336","the edge of",131
"1337","the hunger games",131
"1338","the new jersey",131
"1339","the way we",131
"1340","this is why",131
"1341","to each other",131
"1342","and no one",130
"1343","and we have",130
"1344","he and his",130
"1345","he had been",130
"1346","i was on",130
"1347","i woke up",130
"1348","in the top",130
"1349","likely to be",130
"1350","of one of",130
"1351","see you at",130
"1352","that would have",130
"1353","the first quarter",130
"1354","the fourth quarter",130
"1355","to believe that",130
"1356","trying to find",130
"1357","even if it",129
"1358","friends and family",129
"1359","going on in",129
"1360","have to wait",129
"1361","he said it",129
"1362","i am still",129
"1363","i'm trying to",129
"1364","in the meantime",129
"1365","is going on",129
"1366","it's a good",129
"1367","may be a",129
"1368","that's what i",129
"1369","this year and",129
"1370","to play in",129
"1371","to think of",129
"1372","was a bit",129
"1373","with a little",129
"1374","but you can",128
"1375","in my mind",128
"1376","it is also",128
"1377","just need to",128
"1378","live in the",128
"1379","make it to",128
"1380","me if you",128
"1381","said of the",128
"1382","to catch up",128
"1383","to everyone who",128
"1384","to stay in",128
"1385","you know you",128
"1386","you like it",128
"1387","for the shout",127
"1388","great to see",127
"1389","i am very",127
"1390","i needed to",127
"1391","i think about",127
"1392","is that it",127
"1393","keep up the",127
"1394","of the country",127
"1395","of you who",127
"1396","on the field",127
"1397","so if you",127
"1398","so much i",127
"1399","that i don't",127
"1400","the city and",127
"1401","the midst of",127
"1402","the sound of",127
"1403","the time the",127
"1404","thought i was",127
"1405","we all know",127
"1406","went on to",127
"1407","what's going on",127
"1408","when i got",127
"1409","who you are",127
"1410","with the new",127
"1411","work in the",127
"1412","you can make",127
"1413","you for your",127
"1414","you need a",127
"1415","a great deal",126
"1416","addition to the",126
"1417","all kinds of",126
"1418","come back to",126
"1419","did not have",126
"1420","don't know if",126
"1421","i can tell",126
"1422","i see you",126
"1423","in a large",126
"1424","in san diego",126
"1425","in the midst",126
"1426","it feels like",126
"1427","none of the",126
"1428","not so much",126
"1429","talking about the",126
"1430","the way of",126
"1431","to go on",126
"1432","up to a",126
"1433","a way that",125
"1434","and a few",125
"1435","and at the",125
"1436","and lots of",125
"1437","at the bottom",125
"1438","because of a",125
"1439","feel like a",125
"1440","hope you are",125
"1441","how to make",125
"1442","in my opinion",125
"1443","might have been",125
"1444","might not be",125
"1445","the one that",125
"1446","the people of",125
"1447","the whole thing",125
"1448","this is where",125
"1449","was just a",125
"1450","way to get",125
